edge_from,edge_to,weight
157146593,157146593,2007
52395412,78571599,2006
35920007,4502562,2004
64621741,64621741,2002
10082577,10082577,2000
13144211,140556538,1999
103225281,116571295,1994
192650101,42080949,1990
147953040,118992489,1990
91852382,91852382,1990
58069681,115304631,1984
63459445,62238642,1981
90119964,90119964,1977
58031724,51360982,1974
55826652,193920097,1971
9954729,202812398,1967
38883057,9954729,1963
17421805,135221619,1963
122199241,122199241,1962
203348814,203348814,1962
120629676,4502562,1957
189354248,57293258,1957
45497385,199944782,1953
86033158,207023548,1949
159433931,159433931,1945
193368155,128556326,1942
13144211,45693802,1940
140556538,169411308,1940
140962798,42080949,1938
45693802,151820558,1937
84775595,67831204,1935
157921468,103482838,1932
4502562,59933527,1926
133363738,184954342,1926
204030396,38883057,1925
13144211,30698027,1916
207089700,207089700,1914
151550017,203348814,1913
202403813,87725633,1908
49967189,158797327,1907
123019304,45693802,1907
23688054,90422530,1906
141020589,118992489,1901
26186134,26186134,1899
414566,118988714,1895
33368595,192650101,1891
171741597,128556326,1891
76152103,42080949,1884
57062392,57062392,1883
102439543,102439543,1883
38883057,202812398,1880
205498627,90422530,1875
92132303,92132303,1873
57667410,193920097,1869
42080949,45693802,1867
92260147,57293258,1864
2493627025,196647941,1863
13144211,151820558,1862
134177497,192650101,1860
2596401190,2596401190,1860
63576417,63576417,1853
69141925,90422530,1852
2493627025,90422530,1850
88603889,88603889,1846
151550017,151550017,1845
50372074,51360982,1843
155526855,155526855,1838
61310614,199944782,1832
147953040,90727058,1828
90422530,158797327,1827
19032547,78571599,1827
42080949,51360982,1827
94044085,94044085,1824
198823948,58069681,1818
61310614,4502562,1815
41486457,414566,1813
39243548,928796702,1812
173256270,130252234,1804
140556538,42080949,1800
90422530,168680287,1798
207023548,123019304,1798
110206669,25538012,1796
128025751,202446260,1794
76152103,199944782,1794
196647941,158797327,1792
199497470,168680287,1791
2485537415,196647941,1786
11933594,11933594,1786
2493627025,63459445,1786
130252234,125775545,1786
147316732,168680287,1783
177675236,177675236,1782
156904493,115304631,1782
93916849,185806230,1782
30698027,90119964,1781
87357125,87357125,1780
42468263,42468263,1779
122199241,103482838,1778
165559636,165559636,1778
204851967,18902827,1771
171741597,90727058,1770
154637859,196647941,1770
34881539,34881539,1768
59933527,118992489,1764
2485537415,2485537415,1761
205010575,37879656,1759
196821226,13144211,1758
154637859,120629676,1754
81410195,125775545,1754
92163612,92163612,1753
92363890,19032547,1750
37879656,6725529,1745
195231649,4502562,1745
38448739,18902827,1745
6144335,57293258,1739
133768115,73484101,1739
115304631,58069681,1739
116571295,199944782,1738
171741597,147953040,1736
35920007,115304631,1735
177430994,177430994,1734
2485537415,90422530,1731
185008460,115304631,1727
30879505,57293258,1725
73060445,73060445,1725
32326811,32326811,1723
13144211,10169007,1722
2595047959,2595047959,1720
57667410,173256270,1718
192650101,115304631,1718
173256270,57667410,1718
151820558,25538012,1717
103321696,169988927,1715
45693802,50372074,1712
60779006,60779006,1711
16958353,16958353,1709
185806230,83637746,1698
141020589,90727058,1698
2597365278,118988714,1697
157670870,103482838,1695
177430994,115304631,1694
81410195,33323087,1693
124867444,50372074,1691
